Year,Tech Type,Steel,Copper,Aluminium
2020,Coal Rail,0.9445,0.0015,0.0541
2020,Coal Ocean Ship,0.8858,0.0032,0.0125
2020,Coal Inland Ship,0.8858,0.0032,0.0125
2020,Coal Truck,0.6905,0.004,0.0225
2020,Gas Rail,0.9445,0.0015,0.0541
2020,Gas Ocean Ship,0.8858,0.0032,0.0125
2020,Gas Inland Ship,0.8858,0.0032,0.0125
2020,Gas Truck,0.6905,0.004,0.0225
2020,Oil Rail,0.9445,0.0015,0.0541
2020,Oil Ocean Ship,0.8858,0.0032,0.0125
2020,Oil Inland Ship,0.8858,0.0032,0.0125
2020,Oil Truck,0.6905,0.004,0.0225